RollNo,Name,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,MiniProject
E0525001,+r.name+,,,,,,,,,,,
E0525002,+r.name+,,,,,,,,,,,
E0525003,+r.name+,,,,,,,,,,,
E0525004,+r.name+,,,,,,,,,,,
E0525005,+r.name+,,,,,,,,,,,
E0525006,+r.name+,,,,,,,,,,,
E0525007,+r.name+,,,,,,,,,,,
E0525008,+r.name+,,,,,,,,,,,
E0525009,+r.name+,,,,,,,,,,,
E0525010,+r.name+,,,,,,,,,,,
E0525011,+r.name+,,,,,,,,,,,
E0525012,+r.name+,,,,,,,,,,,
E0525013,+r.name+,,,,,,,,,,,
E0525014,+r.name+,,,,,,,,,,,
E0525015,+r.name+,,,,,,,,,,,
E0525016,+r.name+,,,,,,,,,,,
E0525017,+r.name+,,,,,,,,,,,
E0525018,+r.name+,,,,,,,,,,,
E0525019,+r.name+,,,,,,,,,,,
E0525020,+r.name+,,,,,,,,,,,
E0525021,+r.name+,,,,,,,,,,,
E0525022,+r.name+,,,,,,,,,,,
E0525023,+r.name+,,,,,,,,,,,
E0525024,+r.name+,,,,,,,,,,,
E0525025,+r.name+,,,,,,,,,,,
E0525026,+r.name+,,,,,,,,,,,
E0525027,+r.name+,,,,,,,,,,,
E0525028,+r.name+,,,,,,,,,,,
E0525029,+r.name+,,,,,,,,,,,
E0525030,+r.name+,,,,,,,,,,,
E0525031,+r.name+,,,,,,,,,,,
E0525032,+r.name+,,,,,,,,,,,
E0525033,+r.name+,,,,,,,,,,,
E0525034,+r.name+,,,,,,,,,,,
E0525035,+r.name+,,,,,,,,,,,
E0525036,+r.name+,,,,,,,,,,,
E0525037,+r.name+,,,,,,,,,,,
E0525038,+r.name+,,,,,,,,,,,
E0525039,+r.name+,,,,,,,,,,,
E0525040,+r.name+,,,,,,,,,,,
E0525041,+r.name+,,,,,,,,,,,
E0525042,+r.name+,,,,,,,,,,,
E0525043,+r.name+,,,,,,,,,,,
E0525044,+r.name+,,,,,,,,,,,
E0525045,+r.name+,,,,,,,,,,,
E0525046,+r.name+,,,,,,,,,,,
E0525048,+r.name+,,,,,,,,,,,
E0525049,+r.name+,,,,,,,,,,,
E0525050,+r.name+,,,,,,,,,,,
E0525051,+r.name+,,,,,,,,,,,
E0525052,+r.name+,,,,,,,,,,,
E0525053,+r.name+,,,,,,,,,,,
E0525054,+r.name+,,,,,,,,,,,
E0525055,+r.name+,,,,,,,,,,,
E0525056,+r.name+,,,,,,,,,,,
E0525057,+r.name+,,,,,,,,,,,
E0525058,+r.name+,,,,,,,,,,,
E0525059,+r.name+,,,,,,,,,,,
E0525060,+r.name+,,,,,,,,,,,
